F,M1,M1err,M2,M2err,seuil_bas,seuil_baserr,marcheurs,marcheurserr
15,156,10,168,8,118,10,nan,nan
20,232,10,192,8,156,10,nan,nan
25,258,10,208,8,56,10,nan,nan
30,260,10,294,4,130,10,nan,nan
35,340,10,352,8,166,10,nan,nan
40,424,10,432,4,232,10,nan,nan
45,504,5,528,4,122,10,510,10
50,624,8,660,4,246,10,560,10
55,740,8,768,6,150,10,428,10
60,800,8,840,8,370,10,510,10
65,880,10,844,4,180,10,500,10
70,932,4,750,6,254,10,580,20
75,1170,10,864,6,290,10,600,20
80,1240,10,1070,10,406,10,620,10
85,1380,10,1300,20,410,10,400,10
